,UCT Date,Custom Date,Temp (C)
0,01/01/10 00:53:00,12/31/09 16:53:00,16.7
1,01/01/10 01:53:00,12/31/09 17:53:00,15.6
2,01/01/10 02:53:00,12/31/09 18:53:00,15.0
3,01/01/10 03:53:00,12/31/09 19:53:00,13.3
4,01/01/10 04:53:00,12/31/09 20:53:00,11.7
5,01/01/10 05:53:00,12/31/09 21:53:00,11.1
6,01/01/10 06:53:00,12/31/09 22:53:00,10.6
7,01/01/10 07:53:00,12/31/09 23:53:00,10.0
8,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
9,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
10,01/01/10 08:53:00,01/01/10 00:53:00,10.0
11,01/01/10 09:53:00,01/01/10 01:53:00,8.9
12,01/01/10 10:53:00,01/01/10 02:53:00,8.3
13,01/01/10 11:53:00,01/01/10 03:53:00,8.3
14,01/01/10 12:53:00,01/01/10 04:53:00,7.8
15,01/01/10 13:53:00,01/01/10 05:53:00,7.8
16,01/01/10 14:53:00,01/01/10 06:53:00,7.2
17,01/01/10 15:53:00,01/01/10 07:53:00,8.9
18,01/01/10 16:53:00,01/01/10 08:53:00,11.1
19,01/01/10 17:53:00,01/01/10 09:53:00,15.0
20,01/01/10 18:53:00,01/01/10 10:53:00,16.7
21,01/01/10 19:53:00,01/01/10 11:53:00,17.2
22,01/01/10 20:53:00,01/01/10 12:53:00,18.9
23,01/01/10 21:53:00,01/01/10 13:53:00,18.9
24,01/01/10 22:53:00,01/01/10 14:53:00,19.4
25,01/01/10 23:53:00,01/01/10 15:53:00,18.3
26,01/02/10 00:53:00,01/01/10 16:53:00,16.1
27,01/02/10 01:53:00,01/01/10 17:53:00,15.6
28,01/02/10 02:53:00,01/01/10 18:53:00,16.1
29,01/02/10 03:53:00,01/01/10 19:53:00,13.3
30,01/02/10 04:53:00,01/01/10 20:53:00,12.8
31,01/02/10 05:53:00,01/01/10 21:53:00,11.1
