,UCT Date,Custom Date,Temp (C)
0,01/01/10 00:53:00,12/31/09 16:53:00,17.8
1,01/01/10 01:53:00,12/31/09 17:53:00,15.6
2,01/01/10 02:53:00,12/31/09 18:53:00,14.4
3,01/01/10 03:53:00,12/31/09 19:53:00,14.4
4,01/01/10 04:53:00,12/31/09 20:53:00,12.2
5,01/01/10 05:53:00,12/31/09 21:53:00,12.2
6,01/01/10 06:53:00,12/31/09 22:53:00,11.7
7,01/01/10 07:53:00,12/31/09 23:53:00,11.1
8,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
9,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
10,01/01/10 08:53:00,01/01/10 00:53:00,10.0
11,01/01/10 09:53:00,01/01/10 01:53:00,8.3
12,01/01/10 10:53:00,01/01/10 02:53:00,8.9
13,01/01/10 11:53:00,01/01/10 03:53:00,8.3
14,01/01/10 12:53:00,01/01/10 04:53:00,8.9
15,01/01/10 13:53:00,01/01/10 05:53:00,6.7
16,01/01/10 14:53:00,01/01/10 06:53:00,7.2
17,01/01/10 15:53:00,01/01/10 07:53:00,8.9
18,01/01/10 16:53:00,01/01/10 08:53:00,13.3
19,01/01/10 17:53:00,01/01/10 09:53:00,16.1
20,01/01/10 18:53:00,01/01/10 10:53:00,17.8
21,01/01/10 19:53:00,01/01/10 11:53:00,18.9
22,01/01/10 20:53:00,01/01/10 12:53:00,20.0
23,01/01/10 21:53:00,01/01/10 13:53:00,20.0
24,01/01/10 22:53:00,01/01/10 14:53:00,19.4
25,01/01/10 23:53:00,01/01/10 15:53:00,19.4
26,01/02/10 00:53:00,01/01/10 16:53:00,17.2
27,01/02/10 01:53:00,01/01/10 17:53:00,16.1
28,01/02/10 02:53:00,01/01/10 18:53:00,15.0
29,01/02/10 03:53:00,01/01/10 19:53:00,13.9
30,01/02/10 04:53:00,01/01/10 20:53:00,13.3
31,01/02/10 05:53:00,01/01/10 21:53:00,12.2
32,01/02/10 06:53:00,01/01/10 22:53:00,9.4
33,01/02/10 07:53:00,01/01/10 23:53:00,11.1
34,01/02/10 07:59:00,01/01/10 23:59:00,#N/A
35,01/02/10 08:53:00,01/02/10 00:53:00,9.4
36,01/02/10 09:53:00,01/02/10 01:53:00,10.0
37,01/02/10 10:53:00,01/02/10 02:53:00,9.4
38,01/02/10 11:53:00,01/02/10 03:53:00,8.3
39,01/02/10 12:53:00,01/02/10 04:53:00,8.9
40,01/02/10 13:53:00,01/02/10 05:53:00,7.8
41,01/02/10 14:53:00,01/02/10 06:53:00,7.8
42,01/02/10 15:53:00,01/02/10 07:53:00,10.0
43,01/02/10 16:53:00,01/02/10 08:53:00,12.8
44,01/02/10 17:53:00,01/02/10 09:53:00,17.2
45,01/02/10 18:53:00,01/02/10 10:53:00,20.0
46,01/02/10 19:53:00,01/02/10 11:53:00,21.7
47,01/02/10 20:53:00,01/02/10 12:53:00,22.8
48,01/02/10 21:53:00,01/02/10 13:53:00,22.8
49,01/02/10 22:53:00,01/02/10 14:53:00,22.8
50,01/02/10 23:53:00,01/02/10 15:53:00,21.7
51,01/03/10 00:53:00,01/02/10 16:53:00,20.0
52,01/03/10 01:53:00,01/02/10 17:53:00,16.1
53,01/03/10 02:53:00,01/02/10 18:53:00,15.0
54,01/03/10 03:53:00,01/02/10 19:53:00,14.4
55,01/03/10 04:53:00,01/02/10 20:53:00,14.4
56,01/03/10 05:53:00,01/02/10 21:53:00,11.1
57,01/03/10 06:53:00,01/02/10 22:53:00,12.8
58,01/03/10 07:53:00,01/02/10 23:53:00,11.7
59,01/03/10 07:59:00,01/02/10 23:59:00,#N/A
60,01/03/10 08:53:00,01/03/10 00:53:00,11.1
61,01/03/10 09:53:00,01/03/10 01:53:00,10.6
62,01/03/10 10:53:00,01/03/10 02:53:00,7.8
63,01/03/10 11:53:00,01/03/10 03:53:00,10.0
