,UCT Date,Custom Date,Temp (C)
0,01/01/10 00:53:00,12/31/09 16:53:00,12.8
1,01/01/10 01:53:00,12/31/09 17:53:00,12.8
2,01/01/10 02:53:00,12/31/09 18:53:00,12.2
3,01/01/10 03:53:00,12/31/09 19:53:00,10.6
4,01/01/10 04:53:00,12/31/09 20:53:00,10.0
5,01/01/10 05:53:00,12/31/09 21:53:00,9.4
6,01/01/10 06:53:00,12/31/09 22:53:00,7.8
7,01/01/10 07:53:00,12/31/09 23:53:00,7.8
8,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
9,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
10,01/01/10 08:53:00,01/01/10 00:53:00,7.8
11,01/01/10 09:53:00,01/01/10 01:53:00,7.2
12,01/01/10 10:53:00,01/01/10 02:53:00,8.3
13,01/01/10 11:53:00,01/01/10 03:53:00,7.8
14,01/01/10 12:53:00,01/01/10 04:53:00,7.8
15,01/01/10 13:53:00,01/01/10 05:53:00,7.8
16,01/01/10 14:53:00,01/01/10 06:53:00,8.3
17,01/01/10 15:53:00,01/01/10 07:53:00,8.3
18,01/01/10 16:53:00,01/01/10 08:53:00,8.9
19,01/01/10 17:53:00,01/01/10 09:53:00,10.6
20,01/01/10 18:53:00,01/01/10 10:53:00,11.7
21,01/01/10 19:53:00,01/01/10 11:53:00,12.2
22,01/01/10 20:53:00,01/01/10 12:53:00,13.3
23,01/01/10 21:53:00,01/01/10 13:53:00,15.0
24,01/01/10 22:53:00,01/01/10 14:53:00,16.1
25,01/01/10 23:53:00,01/01/10 15:53:00,16.7
26,01/02/10 00:53:00,01/01/10 16:53:00,15.0
27,01/02/10 01:53:00,01/01/10 17:53:00,12.2
28,01/02/10 02:53:00,01/01/10 18:53:00,11.7
29,01/02/10 03:53:00,01/01/10 19:53:00,11.7
30,01/02/10 04:53:00,01/01/10 20:53:00,10.6
31,01/02/10 05:53:00,01/01/10 21:53:00,11.1
32,01/02/10 06:03:00,01/01/10 22:03:00,11.0
33,01/02/10 06:32:00,01/01/10 22:32:00,11.0
34,01/02/10 06:53:00,01/01/10 22:53:00,10.6
35,01/02/10 07:53:00,01/01/10 23:53:00,9.4
36,01/02/10 07:59:00,01/01/10 23:59:00,#N/A
37,01/02/10 08:53:00,01/02/10 00:53:00,8.9
38,01/02/10 09:53:00,01/02/10 01:53:00,7.8
39,01/02/10 10:53:00,01/02/10 02:53:00,7.2
40,01/02/10 11:32:00,01/02/10 03:32:00,7.0
41,01/02/10 11:53:00,01/02/10 03:53:00,8.3
42,01/02/10 12:43:00,01/02/10 04:43:00,9.0
43,01/02/10 12:53:00,01/02/10 04:53:00,9.4
44,01/02/10 13:25:00,01/02/10 05:25:00,9.0
45,01/02/10 13:53:00,01/02/10 05:53:00,8.3
46,01/02/10 14:53:00,01/02/10 06:53:00,9.4
47,01/02/10 15:45:00,01/02/10 07:45:00,9.0
48,01/02/10 15:51:00,01/02/10 07:51:00,9.0
49,01/02/10 15:53:00,01/02/10 07:53:00,10.0
50,01/02/10 16:53:00,01/02/10 08:53:00,10.0
51,01/02/10 17:21:00,01/02/10 09:21:00,11.0
52,01/02/10 17:53:00,01/02/10 09:53:00,10.6
53,01/02/10 18:48:00,01/02/10 10:48:00,12.0
54,01/02/10 18:53:00,01/02/10 10:53:00,12.2
55,01/02/10 19:53:00,01/02/10 11:53:00,12.8
56,01/02/10 20:12:00,01/02/10 12:12:00,12.0
57,01/02/10 20:35:00,01/02/10 12:35:00,12.0
58,01/02/10 20:53:00,01/02/10 12:53:00,11.1
