,UCT Date,Custom Date,Temp (C)
0,01/01/10 00:53:00,12/31/09 16:53:00,11.7
1,01/01/10 01:53:00,12/31/09 17:53:00,12.8
2,01/01/10 02:53:00,12/31/09 18:53:00,12.2
3,01/01/10 03:53:00,12/31/09 19:53:00,11.7
4,01/01/10 04:53:00,12/31/09 20:53:00,11.1
5,01/01/10 05:53:00,12/31/09 21:53:00,11.1
6,01/01/10 06:53:00,12/31/09 22:53:00,10.0
7,01/01/10 07:53:00,12/31/09 23:53:00,10.0
8,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
9,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
10,01/01/10 08:53:00,01/01/10 00:53:00,11.1
11,01/01/10 09:53:00,01/01/10 01:53:00,11.1
12,01/01/10 10:53:00,01/01/10 02:53:00,10.6
13,01/01/10 11:53:00,01/01/10 03:53:00,10.6
14,01/01/10 12:53:00,01/01/10 04:53:00,9.4
15,01/01/10 13:53:00,01/01/10 05:53:00,10.0
16,01/01/10 14:53:00,01/01/10 06:53:00,10.0
17,01/01/10 15:53:00,01/01/10 07:53:00,10.0
18,01/01/10 16:53:00,01/01/10 08:53:00,10.6
19,01/01/10 17:53:00,01/01/10 09:53:00,10.6
20,01/01/10 18:53:00,01/01/10 10:53:00,12.2
21,01/01/10 19:53:00,01/01/10 11:53:00,13.3
22,01/01/10 20:38:00,01/01/10 12:38:00,14.0
23,01/01/10 20:53:00,01/01/10 12:53:00,15.6
24,01/01/10 21:24:00,01/01/10 13:24:00,16.0
25,01/01/10 21:53:00,01/01/10 13:53:00,15.6
26,01/01/10 22:51:00,01/01/10 14:51:00,16.0
27,01/01/10 22:53:00,01/01/10 14:53:00,15.6
28,01/01/10 23:03:00,01/01/10 15:03:00,16.0
29,01/01/10 23:46:00,01/01/10 15:46:00,13.0
30,01/01/10 23:53:00,01/01/10 15:53:00,13.3
31,01/02/10 00:41:00,01/01/10 16:41:00,12.0
32,01/02/10 00:53:00,01/01/10 16:53:00,12.8
33,01/02/10 01:53:00,01/01/10 17:53:00,13.3
34,01/02/10 02:53:00,01/01/10 18:53:00,12.8
35,01/02/10 03:53:00,01/01/10 19:53:00,13.3
36,01/02/10 04:53:00,01/01/10 20:53:00,13.3
37,01/02/10 05:05:00,01/01/10 21:05:00,13.0
38,01/02/10 05:47:00,01/01/10 21:47:00,13.0
39,01/02/10 05:53:00,01/01/10 21:53:00,13.3
40,01/02/10 06:14:00,01/01/10 22:14:00,13.0
41,01/02/10 06:39:00,01/01/10 22:39:00,13.0
42,01/02/10 06:53:00,01/01/10 22:53:00,13.3
43,01/02/10 07:53:00,01/01/10 23:53:00,12.8
44,01/02/10 07:59:00,01/01/10 23:59:00,#N/A
45,01/02/10 08:43:00,01/02/10 00:43:00,12.0
46,01/02/10 08:53:00,01/02/10 00:53:00,11.7
47,01/02/10 09:53:00,01/02/10 01:53:00,11.7
48,01/02/10 10:53:00,01/02/10 02:53:00,12.2
49,01/02/10 11:13:00,01/02/10 03:13:00,12.0
50,01/02/10 11:32:00,01/02/10 03:32:00,12.0
51,01/02/10 11:53:00,01/02/10 03:53:00,12.8
52,01/02/10 12:51:00,01/02/10 04:51:00,12.0
53,01/02/10 12:53:00,01/02/10 04:53:00,12.2
54,01/02/10 13:53:00,01/02/10 05:53:00,11.7
55,01/02/10 14:06:00,01/02/10 06:06:00,12.0
56,01/02/10 14:53:00,01/02/10 06:53:00,11.7
57,01/02/10 15:04:00,01/02/10 07:04:00,11.0
58,01/02/10 15:13:00,01/02/10 07:13:00,11.0
59,01/02/10 15:42:00,01/02/10 07:42:00,11.0
60,01/02/10 15:53:00,01/02/10 07:53:00,11.1
61,01/02/10 16:39:00,01/02/10 08:39:00,11.0
62,01/02/10 16:53:00,01/02/10 08:53:00,11.7
63,01/02/10 17:53:00,01/02/10 09:53:00,11.7
64,01/02/10 18:53:00,01/02/10 10:53:00,13.3
65,01/02/10 19:53:00,01/02/10 11:53:00,13.9
66,01/02/10 20:53:00,01/02/10 12:53:00,13.9
67,01/02/10 21:38:00,01/02/10 13:38:00,13.0
68,01/02/10 21:53:00,01/02/10 13:53:00,13.9
69,01/02/10 22:53:00,01/02/10 14:53:00,12.8
70,01/02/10 23:53:00,01/02/10 15:53:00,13.9
71,01/03/10 00:53:00,01/02/10 16:53:00,12.2
72,01/03/10 01:53:00,01/02/10 17:53:00,11.7
73,01/03/10 02:53:00,01/02/10 18:53:00,11.1
74,01/03/10 03:53:00,01/02/10 19:53:00,9.4
75,01/03/10 04:53:00,01/02/10 20:53:00,8.9
76,01/03/10 05:53:00,01/02/10 21:53:00,9.4
77,01/03/10 06:53:00,01/02/10 22:53:00,8.9
78,01/03/10 07:53:00,01/02/10 23:53:00,8.3
79,01/03/10 07:59:00,01/02/10 23:59:00,#N/A
80,01/03/10 08:53:00,01/03/10 00:53:00,8.9
81,01/03/10 09:53:00,01/03/10 01:53:00,7.8
82,01/03/10 10:53:00,01/03/10 02:53:00,6.7
83,01/03/10 11:53:00,01/03/10 03:53:00,8.3
84,01/03/10 12:53:00,01/03/10 04:53:00,7.8
85,01/03/10 13:53:00,01/03/10 05:53:00,7.8
86,01/03/10 14:53:00,01/03/10 06:53:00,5.6
87,01/03/10 15:53:00,01/03/10 07:53:00,6.1
88,01/03/10 16:53:00,01/03/10 08:53:00,9.4
89,01/03/10 17:53:00,01/03/10 09:53:00,10.6
90,01/03/10 18:53:00,01/03/10 10:53:00,10.6
91,01/03/10 19:53:00,01/03/10 11:53:00,11.1
92,01/03/10 20:53:00,01/03/10 12:53:00,11.7
93,01/03/10 21:53:00,01/03/10 13:53:00,12.2
94,01/03/10 22:53:00,01/03/10 14:53:00,12.2
95,01/03/10 23:53:00,01/03/10 15:53:00,13.3
96,01/04/10 00:53:00,01/03/10 16:53:00,11.7
97,01/04/10 01:53:00,01/03/10 17:53:00,10.0
98,01/04/10 02:53:00,01/03/10 18:53:00,9.4
99,01/04/10 03:53:00,01/03/10 19:53:00,8.9
100,01/04/10 04:53:00,01/03/10 20:53:00,8.9
101,01/04/10 05:53:00,01/03/10 21:53:00,8.9
102,01/04/10 06:53:00,01/03/10 22:53:00,8.9
103,01/04/10 07:53:00,01/03/10 23:53:00,8.3
104,01/04/10 07:59:00,01/03/10 23:59:00,#N/A
105,01/04/10 08:53:00,01/04/10 00:53:00,8.3
106,01/04/10 09:53:00,01/04/10 01:53:00,7.2
107,01/04/10 10:53:00,01/04/10 02:53:00,6.1
108,01/04/10 11:53:00,01/04/10 03:53:00,7.2
109,01/04/10 12:53:00,01/04/10 04:53:00,7.2
110,01/04/10 13:53:00,01/04/10 05:53:00,7.2
111,01/04/10 14:53:00,01/04/10 06:53:00,6.7
112,01/04/10 15:53:00,01/04/10 07:53:00,6.7
113,01/04/10 16:53:00,01/04/10 08:53:00,8.3
114,01/04/10 17:53:00,01/04/10 09:53:00,9.4
115,01/04/10 18:53:00,01/04/10 10:53:00,11.1
116,01/04/10 19:53:00,01/04/10 11:53:00,12.2
117,01/04/10 20:53:00,01/04/10 12:53:00,10.0
118,01/04/10 21:53:00,01/04/10 13:53:00,10.0
119,01/04/10 22:53:00,01/04/10 14:53:00,11.1
120,01/04/10 23:53:00,01/04/10 15:53:00,10.6
121,01/05/10 00:53:00,01/04/10 16:53:00,10.0
122,01/05/10 01:53:00,01/04/10 17:53:00,10.0
123,01/05/10 02:53:00,01/04/10 18:53:00,7.8
124,01/05/10 03:53:00,01/04/10 19:53:00,8.3
125,01/05/10 04:53:00,01/04/10 20:53:00,8.3
126,01/05/10 05:53:00,01/04/10 21:53:00,7.8
127,01/05/10 06:53:00,01/04/10 22:53:00,7.2
128,01/05/10 07:53:00,01/04/10 23:53:00,7.2
129,01/05/10 07:59:00,01/04/10 23:59:00,#N/A
130,01/05/10 08:53:00,01/05/10 00:53:00,7.2
131,01/05/10 09:53:00,01/05/10 01:53:00,6.7
132,01/05/10 10:53:00,01/05/10 02:53:00,7.8
133,01/05/10 11:53:00,01/05/10 03:53:00,7.8
134,01/05/10 12:53:00,01/05/10 04:53:00,6.1
135,01/05/10 13:53:00,01/05/10 05:53:00,5.6
136,01/05/10 14:53:00,01/05/10 06:53:00,7.2
137,01/05/10 15:53:00,01/05/10 07:53:00,7.8
138,01/05/10 16:53:00,01/05/10 08:53:00,8.9
139,01/05/10 17:53:00,01/05/10 09:53:00,9.4
140,01/05/10 18:53:00,01/05/10 10:53:00,10.0
141,01/05/10 19:53:00,01/05/10 11:53:00,10.0
142,01/05/10 20:53:00,01/05/10 12:53:00,11.1
143,01/05/10 21:53:00,01/05/10 13:53:00,11.1
144,01/05/10 22:53:00,01/05/10 14:53:00,12.8
145,01/05/10 23:53:00,01/05/10 15:53:00,11.7
146,01/06/10 00:53:00,01/05/10 16:53:00,10.6
147,01/06/10 01:53:00,01/05/10 17:53:00,10.0
148,01/06/10 02:53:00,01/05/10 18:53:00,9.4
149,01/06/10 03:53:00,01/05/10 19:53:00,9.4
150,01/06/10 04:53:00,01/05/10 20:53:00,7.8
151,01/06/10 05:53:00,01/05/10 21:53:00,6.7
152,01/06/10 06:53:00,01/05/10 22:53:00,8.3
153,01/06/10 07:53:00,01/05/10 23:53:00,8.3
154,01/06/10 07:59:00,01/05/10 23:59:00,#N/A
155,01/06/10 08:53:00,01/06/10 00:53:00,7.8
156,01/06/10 09:53:00,01/06/10 01:53:00,7.2
157,01/06/10 10:53:00,01/06/10 02:53:00,7.8
158,01/06/10 11:51:00,01/06/10 03:51:00,7.0
159,01/06/10 11:53:00,01/06/10 03:53:00,7.2
160,01/06/10 12:53:00,01/06/10 04:53:00,5.6
161,01/06/10 13:53:00,01/06/10 05:53:00,5.6
162,01/06/10 14:53:00,01/06/10 06:53:00,5.6
163,01/06/10 15:53:00,01/06/10 07:53:00,6.1
164,01/06/10 16:53:00,01/06/10 08:53:00,8.3
165,01/06/10 17:53:00,01/06/10 09:53:00,8.9
166,01/06/10 18:53:00,01/06/10 10:53:00,10.0
167,01/06/10 19:53:00,01/06/10 11:53:00,10.0
168,01/06/10 20:53:00,01/06/10 12:53:00,11.1
169,01/06/10 21:53:00,01/06/10 13:53:00,12.8
170,01/06/10 22:53:00,01/06/10 14:53:00,12.2
171,01/06/10 23:09:00,01/06/10 15:09:00,12.0
172,01/06/10 23:33:00,01/06/10 15:33:00,11.0
173,01/06/10 23:53:00,01/06/10 15:53:00,11.1
174,01/07/10 00:26:00,01/06/10 16:26:00,11.0
175,01/07/10 00:53:00,01/06/10 16:53:00,10.6
176,01/07/10 01:06:00,01/06/10 17:06:00,10.0
177,01/07/10 01:53:00,01/06/10 17:53:00,10.0
178,01/07/10 02:53:00,01/06/10 18:53:00,9.4
179,01/07/10 03:53:00,01/06/10 19:53:00,8.9
180,01/07/10 04:53:00,01/06/10 20:53:00,8.3
181,01/07/10 05:53:00,01/06/10 21:53:00,8.3
182,01/07/10 06:53:00,01/06/10 22:53:00,7.8
183,01/07/10 07:53:00,01/06/10 23:53:00,6.7
184,01/07/10 07:59:00,01/06/10 23:59:00,#N/A
185,01/07/10 08:53:00,01/07/10 00:53:00,6.1
186,01/07/10 09:53:00,01/07/10 01:53:00,5.6
187,01/07/10 10:53:00,01/07/10 02:53:00,6.1
188,01/07/10 11:53:00,01/07/10 03:53:00,6.1
189,01/07/10 12:53:00,01/07/10 04:53:00,6.1
190,01/07/10 13:53:00,01/07/10 05:53:00,5.0
191,01/07/10 14:53:00,01/07/10 06:53:00,5.6
192,01/07/10 15:23:00,01/07/10 07:23:00,6.0
193,01/07/10 15:51:00,01/07/10 07:51:00,7.0
194,01/07/10 15:53:00,01/07/10 07:53:00,7.2
195,01/07/10 16:17:00,01/07/10 08:17:00,7.0
196,01/07/10 16:53:00,01/07/10 08:53:00,8.3
197,01/07/10 17:53:00,01/07/10 09:53:00,8.9
198,01/07/10 18:53:00,01/07/10 10:53:00,10.0
199,01/07/10 19:53:00,01/07/10 11:53:00,10.0
200,01/07/10 20:53:00,01/07/10 12:53:00,10.6
201,01/07/10 21:53:00,01/07/10 13:53:00,11.7
202,01/07/10 22:53:00,01/07/10 14:53:00,12.2
203,01/07/10 23:06:00,01/07/10 15:06:00,12.0
204,01/07/10 23:53:00,01/07/10 15:53:00,11.1
205,01/08/10 00:35:00,01/07/10 16:35:00,10.0
206,01/08/10 00:53:00,01/07/10 16:53:00,10.0
207,01/08/10 01:40:00,01/07/10 17:40:00,10.0
208,01/08/10 01:53:00,01/07/10 17:53:00,9.4
