,UCT Date,Custom Date,Temp (C)
0,01/01/10 00:00:00,12/31/09 16:00:00,15.6
1,01/01/10 00:53:00,12/31/09 16:53:00,15.0
2,01/01/10 01:53:00,12/31/09 17:53:00,15.0
3,01/01/10 02:53:00,12/31/09 18:53:00,13.9
4,01/01/10 03:53:00,12/31/09 19:53:00,14.4
5,01/01/10 04:53:00,12/31/09 20:53:00,13.9
6,01/01/10 05:53:00,12/31/09 21:53:00,13.3
7,01/01/10 06:00:00,12/31/09 22:00:00,13.3
8,01/01/10 06:53:00,12/31/09 22:53:00,14.4
9,01/01/10 07:53:00,12/31/09 23:53:00,14.4
10,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
11,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
12,01/01/10 08:53:00,01/01/10 00:53:00,13.3
13,01/01/10 09:53:00,01/01/10 01:53:00,11.1
14,01/01/10 10:53:00,01/01/10 02:53:00,11.1
15,01/01/10 11:53:00,01/01/10 03:53:00,11.1
16,01/01/10 12:00:00,01/01/10 04:00:00,11.1
17,01/01/10 12:53:00,01/01/10 04:53:00,11.1
18,01/01/10 13:53:00,01/01/10 05:53:00,12.2
19,01/01/10 14:53:00,01/01/10 06:53:00,12.2
20,01/01/10 15:53:00,01/01/10 07:53:00,13.3
21,01/01/10 16:53:00,01/01/10 08:53:00,16.1
22,01/01/10 17:53:00,01/01/10 09:53:00,18.3
23,01/01/10 18:00:00,01/01/10 10:00:00,18.3
24,01/01/10 18:53:00,01/01/10 10:53:00,19.4
25,01/01/10 19:53:00,01/01/10 11:53:00,16.7
26,01/01/10 20:53:00,01/01/10 12:53:00,18.3
27,01/01/10 21:53:00,01/01/10 13:53:00,18.9
28,01/01/10 22:53:00,01/01/10 14:53:00,17.2
29,01/01/10 23:53:00,01/01/10 15:53:00,16.7
30,01/02/10 00:00:00,01/01/10 16:00:00,16.7
31,01/02/10 00:53:00,01/01/10 16:53:00,16.1
32,01/02/10 01:53:00,01/01/10 17:53:00,15.0
33,01/02/10 02:53:00,01/01/10 18:53:00,15.6
34,01/02/10 03:53:00,01/01/10 19:53:00,15.0
35,01/02/10 04:53:00,01/01/10 20:53:00,15.0
36,01/02/10 05:53:00,01/01/10 21:53:00,17.2
37,01/02/10 06:00:00,01/01/10 22:00:00,17.2
38,01/02/10 06:53:00,01/01/10 22:53:00,20.0
39,01/02/10 07:53:00,01/01/10 23:53:00,18.9
40,01/02/10 07:59:00,01/01/10 23:59:00,#N/A
41,01/02/10 08:53:00,01/02/10 00:53:00,17.8
42,01/02/10 09:53:00,01/02/10 01:53:00,18.9
43,01/02/10 10:53:00,01/02/10 02:53:00,18.3
44,01/02/10 11:53:00,01/02/10 03:53:00,15.0
45,01/02/10 12:00:00,01/02/10 04:00:00,15.0
46,01/02/10 12:53:00,01/02/10 04:53:00,17.8
47,01/02/10 13:53:00,01/02/10 05:53:00,15.0
48,01/02/10 14:53:00,01/02/10 06:53:00,13.3
49,01/02/10 15:53:00,01/02/10 07:53:00,13.3
50,01/02/10 16:53:00,01/02/10 08:53:00,17.2
51,01/02/10 17:53:00,01/02/10 09:53:00,20.0
52,01/02/10 18:00:00,01/02/10 10:00:00,20.0
53,01/02/10 18:53:00,01/02/10 10:53:00,22.8
54,01/02/10 19:53:00,01/02/10 11:53:00,22.8
55,01/02/10 20:53:00,01/02/10 12:53:00,21.1
56,01/02/10 21:53:00,01/02/10 13:53:00,21.7
57,01/02/10 22:53:00,01/02/10 14:53:00,20.0
58,01/02/10 23:53:00,01/02/10 15:53:00,21.1
