,UCT Date,Custom Date,Temp (C)
0,01/01/10 00:48:00,12/31/09 16:48:00,9.0
1,01/01/10 01:50:00,12/31/09 17:50:00,6.0
2,01/01/10 02:48:00,12/31/09 18:48:00,3.0
3,01/01/10 03:48:00,12/31/09 19:48:00,3.0
4,01/01/10 15:52:00,01/01/10 07:52:00,1.0
5,01/01/10 19:46:00,01/01/10 11:46:00,11.0
6,01/01/10 20:48:00,01/01/10 12:48:00,12.0
7,01/01/10 21:48:00,01/01/10 13:48:00,13.0
8,01/01/10 23:48:00,01/01/10 15:48:00,13.0
9,01/02/10 14:49:00,01/02/10 06:49:00,2.0
10,01/02/10 17:49:00,01/02/10 09:49:00,8.0
11,01/02/10 19:47:00,01/02/10 11:47:00,13.0
12,01/02/10 20:48:00,01/02/10 12:48:00,15.0
13,01/02/10 21:48:00,01/02/10 13:48:00,16.0
14,01/02/10 22:48:00,01/02/10 14:48:00,16.0
15,01/03/10 13:50:00,01/03/10 05:50:00,-3.0
16,01/03/10 14:48:00,01/03/10 06:48:00,-2.0
17,01/03/10 15:48:00,01/03/10 07:48:00,2.0
18,01/03/10 16:48:00,01/03/10 08:48:00,6.0
19,01/03/10 17:50:00,01/03/10 09:50:00,9.0
20,01/03/10 19:48:00,01/03/10 11:48:00,12.0
21,01/03/10 22:46:00,01/03/10 14:46:00,16.0
22,01/03/10 23:48:00,01/03/10 15:48:00,15.0
23,01/04/10 00:59:00,01/03/10 16:59:00,11.0
24,01/04/10 01:47:00,01/03/10 17:47:00,8.0
25,01/04/10 02:49:00,01/03/10 18:49:00,6.0
26,01/04/10 03:55:00,01/03/10 19:55:00,2.0
27,01/04/10 13:50:00,01/04/10 05:50:00,0.0
28,01/04/10 14:48:00,01/04/10 06:48:00,-1.0
29,01/04/10 15:48:00,01/04/10 07:48:00,1.0
30,01/04/10 16:48:00,01/04/10 08:48:00,4.0
31,01/04/10 17:48:00,01/04/10 09:48:00,7.0
32,01/04/10 18:49:00,01/04/10 10:49:00,9.0
33,01/04/10 19:51:00,01/04/10 11:51:00,11.0
34,01/04/10 20:50:00,01/04/10 12:50:00,13.0
35,01/04/10 21:53:00,01/04/10 13:53:00,13.0
36,01/04/10 23:52:00,01/04/10 15:52:00,12.0
37,01/05/10 14:53:00,01/05/10 06:53:00,-1.0
38,01/05/10 16:50:00,01/05/10 08:50:00,5.0
39,01/05/10 18:46:00,01/05/10 10:46:00,11.0
40,01/05/10 19:49:00,01/05/10 11:49:00,13.0
41,01/05/10 22:48:00,01/05/10 14:48:00,16.0
42,01/05/10 23:47:00,01/05/10 15:47:00,16.0
43,01/06/10 14:54:00,01/06/10 06:54:00,3.0
44,01/06/10 17:58:00,01/06/10 09:58:00,10.0
45,01/06/10 18:48:00,01/06/10 10:48:00,13.0
46,01/06/10 19:50:00,01/06/10 11:50:00,16.0
47,01/06/10 21:55:00,01/06/10 13:55:00,18.0
48,01/06/10 22:48:00,01/06/10 14:48:00,18.0
49,01/07/10 00:46:00,01/06/10 16:46:00,16.0
50,01/07/10 14:49:00,01/07/10 06:49:00,2.0
51,01/07/10 17:48:00,01/07/10 09:48:00,11.0
52,01/07/10 18:47:00,01/07/10 10:47:00,14.0
53,01/07/10 20:48:00,01/07/10 12:48:00,17.0
54,01/07/10 21:48:00,01/07/10 13:48:00,18.0
55,01/07/10 22:51:00,01/07/10 14:51:00,18.0
56,01/07/10 23:48:00,01/07/10 15:48:00,18.0
57,01/08/10 00:50:00,01/07/10 16:50:00,16.0
58,01/08/10 01:55:00,01/07/10 17:55:00,12.0
59,01/08/10 02:50:00,01/07/10 18:50:00,12.0
60,01/08/10 03:48:00,01/07/10 19:48:00,9.0
61,01/08/10 14:55:00,01/08/10 06:55:00,2.0
62,01/08/10 18:55:00,01/08/10 10:55:00,13.0
63,01/08/10 19:46:00,01/08/10 11:46:00,14.0
64,01/08/10 20:50:00,01/08/10 12:50:00,16.0
65,01/08/10 21:46:00,01/08/10 13:46:00,15.0
66,01/09/10 14:52:00,01/09/10 06:52:00,-2.0
67,01/09/10 16:55:00,01/09/10 08:55:00,6.0
68,01/09/10 17:53:00,01/09/10 09:53:00,9.0
69,01/09/10 19:48:00,01/09/10 11:48:00,13.0
70,01/09/10 20:50:00,01/09/10 12:50:00,14.0
71,01/09/10 21:50:00,01/09/10 13:50:00,14.0
72,01/09/10 22:48:00,01/09/10 14:48:00,14.0
73,01/10/10 13:48:00,01/10/10 05:48:00,2.0
74,01/10/10 14:48:00,01/10/10 06:48:00,1.0
75,01/10/10 15:48:00,01/10/10 07:48:00,4.0
