,UCT Date,Custom Date,Temp (C)
0,01/01/10 00:00:00,12/31/09 16:00:00,17.2
1,01/01/10 00:51:00,12/31/09 16:51:00,16.1
2,01/01/10 01:51:00,12/31/09 17:51:00,15.6
3,01/01/10 02:51:00,12/31/09 18:51:00,14.4
4,01/01/10 03:51:00,12/31/09 19:51:00,13.9
5,01/01/10 04:51:00,12/31/09 20:51:00,13.9
6,01/01/10 05:51:00,12/31/09 21:51:00,12.8
7,01/01/10 06:00:00,12/31/09 22:00:00,12.8
8,01/01/10 06:51:00,12/31/09 22:51:00,12.2
9,01/01/10 07:51:00,12/31/09 23:51:00,11.1
10,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
11,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
12,01/01/10 08:51:00,01/01/10 00:51:00,10.6
13,01/01/10 09:51:00,01/01/10 01:51:00,10.0
14,01/01/10 10:51:00,01/01/10 02:51:00,10.0
15,01/01/10 11:51:00,01/01/10 03:51:00,9.4
16,01/01/10 12:00:00,01/01/10 04:00:00,9.4
17,01/01/10 12:51:00,01/01/10 04:51:00,8.9
18,01/01/10 13:51:00,01/01/10 05:51:00,8.9
19,01/01/10 14:51:00,01/01/10 06:51:00,9.4
20,01/01/10 15:51:00,01/01/10 07:51:00,11.7
21,01/01/10 16:51:00,01/01/10 08:51:00,12.8
22,01/01/10 17:51:00,01/01/10 09:51:00,15.6
23,01/01/10 18:00:00,01/01/10 10:00:00,15.6
24,01/01/10 18:51:00,01/01/10 10:51:00,17.2
25,01/01/10 19:51:00,01/01/10 11:51:00,18.3
26,01/01/10 20:51:00,01/01/10 12:51:00,20.0
27,01/01/10 21:51:00,01/01/10 13:51:00,18.3
28,01/01/10 22:51:00,01/01/10 14:51:00,18.3
29,01/01/10 23:51:00,01/01/10 15:51:00,17.8
30,01/02/10 00:00:00,01/01/10 16:00:00,17.8
31,01/02/10 00:51:00,01/01/10 16:51:00,17.2
32,01/02/10 01:51:00,01/01/10 17:51:00,16.1
33,01/02/10 02:51:00,01/01/10 18:51:00,15.6
34,01/02/10 03:51:00,01/01/10 19:51:00,15.0
35,01/02/10 04:51:00,01/01/10 20:51:00,15.0
36,01/02/10 05:51:00,01/01/10 21:51:00,15.0
37,01/02/10 06:00:00,01/01/10 22:00:00,15.0
38,01/02/10 06:51:00,01/01/10 22:51:00,13.3
39,01/02/10 07:51:00,01/01/10 23:51:00,13.9
40,01/02/10 07:59:00,01/01/10 23:59:00,#N/A
41,01/02/10 08:51:00,01/02/10 00:51:00,12.8
42,01/02/10 09:51:00,01/02/10 01:51:00,11.7
43,01/02/10 10:51:00,01/02/10 02:51:00,10.6
44,01/02/10 11:51:00,01/02/10 03:51:00,10.6
45,01/02/10 12:00:00,01/02/10 04:00:00,10.6
46,01/02/10 12:51:00,01/02/10 04:51:00,11.7
47,01/02/10 13:51:00,01/02/10 05:51:00,10.0
48,01/02/10 14:51:00,01/02/10 06:51:00,10.0
49,01/02/10 15:51:00,01/02/10 07:51:00,12.2
50,01/02/10 16:51:00,01/02/10 08:51:00,15.6
51,01/02/10 17:51:00,01/02/10 09:51:00,17.2
52,01/02/10 18:00:00,01/02/10 10:00:00,17.2
53,01/02/10 18:51:00,01/02/10 10:51:00,18.9
54,01/02/10 19:51:00,01/02/10 11:51:00,20.0
55,01/02/10 20:51:00,01/02/10 12:51:00,22.8
56,01/02/10 21:51:00,01/02/10 13:51:00,23.9
57,01/02/10 22:51:00,01/02/10 14:51:00,22.8
58,01/02/10 23:51:00,01/02/10 15:51:00,20.6
59,01/03/10 00:00:00,01/02/10 16:00:00,20.6
60,01/03/10 00:51:00,01/02/10 16:51:00,18.9
61,01/03/10 01:51:00,01/02/10 17:51:00,17.8
62,01/03/10 02:51:00,01/02/10 18:51:00,16.1
63,01/03/10 03:51:00,01/02/10 19:51:00,15.0
64,01/03/10 04:51:00,01/02/10 20:51:00,14.4
65,01/03/10 05:51:00,01/02/10 21:51:00,13.3
66,01/03/10 06:00:00,01/02/10 22:00:00,13.3
67,01/03/10 06:51:00,01/02/10 22:51:00,12.8
68,01/03/10 07:51:00,01/02/10 23:51:00,12.2
69,01/03/10 07:59:00,01/02/10 23:59:00,#N/A
70,01/03/10 08:51:00,01/03/10 00:51:00,11.7
71,01/03/10 09:51:00,01/03/10 01:51:00,11.1
72,01/03/10 10:51:00,01/03/10 02:51:00,10.6
73,01/03/10 11:51:00,01/03/10 03:51:00,10.0
74,01/03/10 12:00:00,01/03/10 04:00:00,10.0
75,01/03/10 12:51:00,01/03/10 04:51:00,9.4
76,01/03/10 13:51:00,01/03/10 05:51:00,8.9
77,01/03/10 14:51:00,01/03/10 06:51:00,8.9
78,01/03/10 15:51:00,01/03/10 07:51:00,11.1
79,01/03/10 16:51:00,01/03/10 08:51:00,16.1
80,01/03/10 17:51:00,01/03/10 09:51:00,22.2
81,01/03/10 18:00:00,01/03/10 10:00:00,22.2
82,01/03/10 18:51:00,01/03/10 10:51:00,23.3
83,01/03/10 19:51:00,01/03/10 11:51:00,22.8
84,01/03/10 20:51:00,01/03/10 12:51:00,22.8
85,01/03/10 21:51:00,01/03/10 13:51:00,21.7
86,01/03/10 22:51:00,01/03/10 14:51:00,22.2
87,01/03/10 23:51:00,01/03/10 15:51:00,22.8
88,01/04/10 00:00:00,01/03/10 16:00:00,22.8
89,01/04/10 00:51:00,01/03/10 16:51:00,20.6
90,01/04/10 01:51:00,01/03/10 17:51:00,19.4
91,01/04/10 02:51:00,01/03/10 18:51:00,16.7
92,01/04/10 03:51:00,01/03/10 19:51:00,15.6
93,01/04/10 04:51:00,01/03/10 20:51:00,13.9
94,01/04/10 05:51:00,01/03/10 21:51:00,13.3
95,01/04/10 06:00:00,01/03/10 22:00:00,13.3
96,01/04/10 06:51:00,01/03/10 22:51:00,12.2
