,UCT Date,Custom Date,Temp (C)
0,01/01/10 00:00:00,12/31/09 16:00:00,14.4
1,01/01/10 00:51:00,12/31/09 16:51:00,11.1
2,01/01/10 01:51:00,12/31/09 17:51:00,10.6
3,01/01/10 02:51:00,12/31/09 18:51:00,8.9
4,01/01/10 03:51:00,12/31/09 19:51:00,8.3
5,01/01/10 04:51:00,12/31/09 20:51:00,7.8
6,01/01/10 05:51:00,12/31/09 21:51:00,7.2
7,01/01/10 06:00:00,12/31/09 22:00:00,7.2
8,01/01/10 06:51:00,12/31/09 22:51:00,6.1
9,01/01/10 07:51:00,12/31/09 23:51:00,6.1
10,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
11,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
12,01/01/10 08:51:00,01/01/10 00:51:00,5.6
13,01/01/10 09:51:00,01/01/10 01:51:00,5.0
14,01/01/10 10:51:00,01/01/10 02:51:00,5.6
15,01/01/10 11:51:00,01/01/10 03:51:00,5.6
16,01/01/10 12:00:00,01/01/10 04:00:00,5.6
17,01/01/10 12:51:00,01/01/10 04:51:00,6.1
18,01/01/10 13:51:00,01/01/10 05:51:00,6.1
19,01/01/10 14:51:00,01/01/10 06:51:00,5.6
20,01/01/10 15:51:00,01/01/10 07:51:00,6.7
21,01/01/10 16:51:00,01/01/10 08:51:00,9.4
22,01/01/10 17:51:00,01/01/10 09:51:00,10.6
23,01/01/10 18:00:00,01/01/10 10:00:00,10.6
24,01/01/10 18:51:00,01/01/10 10:51:00,12.2
25,01/01/10 19:51:00,01/01/10 11:51:00,13.3
26,01/01/10 20:51:00,01/01/10 12:51:00,13.9
27,01/01/10 21:51:00,01/01/10 13:51:00,14.4
28,01/01/10 22:51:00,01/01/10 14:51:00,14.4
29,01/01/10 23:51:00,01/01/10 15:51:00,14.4
30,01/02/10 00:00:00,01/01/10 16:00:00,14.4
31,01/02/10 00:51:00,01/01/10 16:51:00,12.8
32,01/02/10 01:51:00,01/01/10 17:51:00,11.7
