,UCT Date,Custom Date,Temp (C)
0,01/01/10 01:47:00,12/31/09 17:47:00,14.0
1,01/01/10 04:47:00,12/31/09 20:47:00,9.0
2,01/01/10 17:47:00,01/01/10 09:47:00,13.0
3,01/01/10 19:47:00,01/01/10 11:47:00,21.0
4,01/01/10 20:47:00,01/01/10 12:47:00,23.0
5,01/02/10 02:47:00,01/01/10 18:47:00,14.0
6,01/02/10 03:47:00,01/01/10 19:47:00,14.0
7,01/02/10 04:47:00,01/01/10 20:47:00,13.0
8,01/02/10 14:47:00,01/02/10 06:47:00,5.0
9,01/02/10 20:47:00,01/02/10 12:47:00,24.0
10,01/02/10 23:47:00,01/02/10 15:47:00,23.0
11,01/03/10 00:47:00,01/02/10 16:47:00,18.0
12,01/03/10 02:47:00,01/02/10 18:47:00,13.0
13,01/03/10 03:47:00,01/02/10 19:47:00,11.0
14,01/03/10 04:47:00,01/02/10 20:47:00,10.0
15,01/03/10 17:47:00,01/03/10 09:47:00,13.0
16,01/03/10 18:47:00,01/03/10 10:47:00,18.0
17,01/03/10 19:47:00,01/03/10 11:47:00,23.0
18,01/03/10 20:47:00,01/03/10 12:47:00,27.0
19,01/03/10 22:47:00,01/03/10 14:47:00,23.0
20,01/04/10 04:47:00,01/03/10 20:47:00,9.0
21,01/04/10 15:47:00,01/04/10 07:47:00,6.0
22,01/04/10 18:47:00,01/04/10 10:47:00,#N/A
23,01/04/10 19:47:00,01/04/10 11:47:00,21.0
24,01/04/10 20:47:00,01/04/10 12:47:00,22.0
25,01/05/10 00:47:00,01/04/10 16:47:00,18.0
26,01/05/10 01:47:00,01/04/10 17:47:00,14.0
27,01/05/10 14:47:00,01/05/10 06:47:00,2.0
28,01/05/10 15:47:00,01/05/10 07:47:00,4.0
29,01/05/10 16:47:00,01/05/10 08:47:00,9.0
30,01/05/10 17:47:00,01/05/10 09:47:00,13.0
31,01/05/10 18:47:00,01/05/10 10:47:00,18.0
32,01/06/10 14:47:00,01/06/10 06:47:00,4.0
33,01/06/10 15:47:00,01/06/10 07:47:00,5.0
34,01/06/10 18:47:00,01/06/10 10:47:00,18.0
35,01/06/10 20:47:00,01/06/10 12:47:00,25.0
36,01/06/10 22:47:00,01/06/10 14:47:00,24.0
37,01/06/10 23:47:00,01/06/10 15:47:00,22.0
38,01/07/10 23:47:00,01/07/10 15:47:00,23.0
39,01/08/10 00:47:00,01/07/10 16:47:00,19.0
40,01/08/10 03:47:00,01/07/10 19:47:00,13.0
41,01/08/10 14:47:00,01/08/10 06:47:00,7.0
42,01/08/10 21:47:00,01/08/10 13:47:00,28.0
43,01/08/10 23:47:00,01/08/10 15:47:00,25.0
44,01/09/10 00:47:00,01/08/10 16:47:00,22.0
45,01/09/10 01:47:00,01/08/10 17:47:00,19.0
46,01/09/10 04:47:00,01/08/10 20:47:00,13.0
47,01/09/10 14:47:00,01/09/10 06:47:00,6.0
48,01/09/10 16:47:00,01/09/10 08:47:00,12.0
49,01/09/10 18:47:00,01/09/10 10:47:00,22.0
50,01/09/10 21:47:00,01/09/10 13:47:00,26.0
51,01/09/10 22:47:00,01/09/10 14:47:00,24.0
52,01/10/10 00:47:00,01/09/10 16:47:00,20.0
53,01/10/10 02:47:00,01/09/10 18:47:00,16.0
54,01/10/10 03:47:00,01/09/10 19:47:00,16.0
55,01/10/10 04:47:00,01/09/10 20:47:00,15.0
56,01/10/10 15:47:00,01/10/10 07:47:00,9.0
57,01/10/10 16:47:00,01/10/10 08:47:00,13.0
58,01/10/10 17:47:00,01/10/10 09:47:00,17.0
59,01/10/10 19:47:00,01/10/10 11:47:00,26.0
60,01/10/10 22:47:00,01/10/10 14:47:00,26.0
61,01/10/10 23:47:00,01/10/10 15:47:00,25.0
62,01/11/10 01:47:00,01/10/10 17:47:00,16.0
63,01/11/10 14:47:00,01/11/10 06:47:00,5.0
64,01/11/10 15:47:00,01/11/10 07:47:00,7.0
65,01/11/10 16:47:00,01/11/10 08:47:00,12.0
66,01/11/10 19:47:00,01/11/10 11:47:00,26.0
67,01/11/10 21:47:00,01/11/10 13:47:00,27.0
68,01/11/10 23:47:00,01/11/10 15:47:00,24.0
69,01/12/10 02:47:00,01/11/10 18:47:00,16.0
70,01/12/10 03:47:00,01/11/10 19:47:00,13.0
71,01/12/10 14:47:00,01/12/10 06:47:00,6.0
72,01/12/10 15:47:00,01/12/10 07:47:00,8.0
73,01/12/10 16:47:00,01/12/10 08:47:00,12.0
74,01/12/10 17:47:00,01/12/10 09:47:00,14.0
75,01/12/10 22:47:00,01/12/10 14:47:00,24.0
76,01/12/10 23:47:00,01/12/10 15:47:00,23.0
77,01/13/10 14:47:00,01/13/10 06:47:00,11.0
78,01/13/10 15:47:00,01/13/10 07:47:00,12.0
79,01/13/10 16:47:00,01/13/10 08:47:00,13.0
80,01/13/10 20:47:00,01/13/10 12:47:00,17.0
81,01/13/10 21:47:00,01/13/10 13:47:00,17.0
82,01/13/10 22:47:00,01/13/10 14:47:00,17.0
83,01/14/10 03:47:00,01/13/10 19:47:00,12.0
84,01/14/10 04:47:00,01/13/10 20:47:00,11.0
85,01/15/10 03:47:00,01/14/10 19:47:00,12.0
86,01/15/10 04:47:00,01/14/10 20:47:00,11.0
87,01/15/10 19:47:00,01/15/10 11:47:00,18.0
88,01/16/10 03:47:00,01/15/10 19:47:00,12.0
89,01/16/10 04:47:00,01/15/10 20:47:00,11.0
90,01/16/10 21:47:00,01/16/10 13:47:00,20.0
91,01/16/10 22:47:00,01/16/10 14:47:00,19.0
92,01/16/10 23:47:00,01/16/10 15:47:00,18.0
93,01/17/10 00:47:00,01/16/10 16:47:00,16.0
94,01/17/10 21:47:00,01/17/10 13:47:00,17.0
95,01/17/10 23:47:00,01/17/10 15:47:00,15.0
96,01/18/10 00:50:00,01/17/10 16:50:00,14.0
97,01/18/10 01:47:00,01/17/10 17:47:00,14.0
98,01/18/10 19:55:00,01/18/10 11:55:00,17.0
99,01/19/10 00:47:00,01/18/10 16:47:00,12.0
100,01/19/10 01:47:00,01/18/10 17:47:00,11.0
101,01/19/10 14:57:00,01/19/10 06:57:00,5.0
102,01/19/10 16:47:00,01/19/10 08:47:00,7.0
103,01/19/10 17:47:00,01/19/10 09:47:00,9.0
104,01/19/10 20:50:00,01/19/10 12:50:00,13.0
105,01/19/10 21:28:00,01/19/10 13:28:00,13.0
106,01/19/10 22:50:00,01/19/10 14:50:00,14.0
107,01/19/10 23:47:00,01/19/10 15:47:00,14.0
108,01/20/10 04:47:00,01/19/10 20:47:00,11.0
109,01/20/10 14:47:00,01/20/10 06:47:00,8.0
110,01/20/10 15:47:00,01/20/10 07:47:00,9.0
111,01/20/10 16:47:00,01/20/10 08:47:00,12.0
112,01/20/10 17:47:00,01/20/10 09:47:00,14.0
113,01/20/10 19:47:00,01/20/10 11:47:00,16.0
114,01/21/10 00:47:00,01/20/10 16:47:00,12.0
115,01/21/10 02:47:00,01/20/10 18:47:00,12.0
116,01/21/10 03:47:00,01/20/10 19:47:00,12.0
117,01/22/10 01:47:00,01/21/10 17:47:00,13.0
118,01/22/10 14:47:00,01/22/10 06:47:00,9.0
119,01/22/10 16:47:00,01/22/10 08:47:00,9.0
120,01/22/10 21:47:00,01/22/10 13:47:00,10.0
121,01/23/10 01:47:00,01/22/10 17:47:00,11.0
122,01/23/10 03:47:00,01/22/10 19:47:00,7.0
123,01/23/10 04:47:00,01/22/10 20:47:00,7.0
124,01/23/10 14:47:00,01/23/10 06:47:00,3.0
125,01/23/10 17:47:00,01/23/10 09:47:00,11.0
126,01/23/10 22:47:00,01/23/10 14:47:00,15.0
127,01/24/10 00:47:00,01/23/10 16:47:00,12.0
128,01/24/10 21:47:00,01/24/10 13:47:00,18.0
129,01/24/10 22:47:00,01/24/10 14:47:00,18.0
130,01/25/10 02:47:00,01/24/10 18:47:00,10.0
131,01/25/10 03:47:00,01/24/10 19:47:00,10.0
132,01/25/10 14:47:00,01/25/10 06:47:00,3.0
133,01/25/10 20:47:00,01/25/10 12:47:00,19.0
134,01/26/10 14:47:00,01/26/10 06:47:00,5.0
135,01/26/10 15:47:00,01/26/10 07:47:00,7.0
136,01/26/10 16:47:00,01/26/10 08:47:00,9.0
137,01/26/10 17:47:00,01/26/10 09:47:00,12.0
138,01/26/10 18:47:00,01/26/10 10:47:00,16.0
139,01/26/10 21:47:00,01/26/10 13:47:00,14.0
140,01/27/10 02:47:00,01/26/10 18:47:00,12.0
141,01/27/10 04:47:00,01/26/10 20:47:00,13.0
142,01/27/10 16:47:00,01/27/10 08:47:00,11.0
143,01/29/10 02:50:00,01/28/10 18:50:00,12.0
144,01/29/10 04:47:00,01/28/10 20:47:00,11.0
145,01/29/10 14:47:00,01/29/10 06:47:00,6.0
146,01/29/10 15:47:00,01/29/10 07:47:00,6.0
147,01/29/10 16:47:00,01/29/10 08:47:00,9.0
148,01/29/10 17:47:00,01/29/10 09:47:00,13.0
149,01/29/10 20:05:00,01/29/10 12:05:00,19.0
150,01/29/10 20:47:00,01/29/10 12:47:00,19.0
151,01/29/10 21:47:00,01/29/10 13:47:00,19.0
152,01/30/10 00:47:00,01/29/10 16:47:00,16.0
153,01/30/10 23:47:00,01/30/10 15:47:00,16.0
154,01/31/10 14:47:00,01/31/10 06:47:00,8.0
155,01/31/10 17:47:00,01/31/10 09:47:00,17.0
156,01/31/10 18:47:00,01/31/10 10:47:00,15.0
157,01/31/10 19:47:00,01/31/10 11:47:00,17.0
158,01/31/10 22:47:00,01/31/10 14:47:00,17.0
159,02/01/10 14:50:00,02/01/10 06:50:00,8.0
160,02/01/10 15:47:00,02/01/10 07:47:00,8.0
161,02/01/10 16:47:00,02/01/10 08:47:00,10.0
162,02/01/10 17:47:00,02/01/10 09:47:00,13.0
163,02/01/10 19:47:00,02/01/10 11:47:00,16.0
164,02/01/10 20:47:00,02/01/10 12:47:00,18.0
165,02/01/10 22:47:00,02/01/10 14:47:00,19.0
166,02/02/10 01:47:00,02/01/10 17:47:00,14.0
167,02/02/10 04:47:00,02/01/10 20:47:00,12.0
168,02/02/10 14:47:00,02/02/10 06:47:00,8.0
169,02/02/10 18:47:00,02/02/10 10:47:00,18.0
170,02/02/10 19:47:00,02/02/10 11:47:00,18.0
171,02/02/10 20:47:00,02/02/10 12:47:00,18.0
172,02/02/10 21:47:00,02/02/10 13:47:00,19.0
173,02/02/10 21:55:00,02/02/10 13:55:00,19.0
174,02/02/10 22:47:00,02/02/10 14:47:00,19.0
175,02/02/10 23:47:00,02/02/10 15:47:00,17.0
176,02/03/10 15:47:00,02/03/10 07:47:00,11.0
177,02/03/10 17:47:00,02/03/10 09:47:00,13.0
178,02/04/10 03:47:00,02/03/10 19:47:00,13.0
179,02/04/10 21:47:00,02/04/10 13:47:00,19.0
180,02/04/10 23:47:00,02/04/10 15:47:00,16.0
181,02/05/10 01:47:00,02/04/10 17:47:00,14.0
182,02/05/10 02:47:00,02/04/10 18:47:00,13.0
183,02/05/10 14:47:00,02/05/10 06:47:00,11.0
184,02/05/10 22:47:00,02/05/10 14:47:00,16.0
185,02/06/10 00:47:00,02/05/10 16:47:00,14.0
186,02/06/10 04:47:00,02/05/10 20:47:00,12.0
187,02/06/10 14:47:00,02/06/10 06:47:00,13.0
188,02/06/10 19:47:00,02/06/10 11:47:00,13.0
189,02/06/10 20:47:00,02/06/10 12:47:00,13.0
190,02/06/10 21:47:00,02/06/10 13:47:00,16.0
191,02/06/10 22:47:00,02/06/10 14:47:00,15.0
192,02/06/10 23:47:00,02/06/10 15:47:00,14.0
193,02/07/10 01:50:00,02/06/10 17:50:00,13.0
194,02/07/10 02:47:00,02/06/10 18:47:00,12.0
195,02/07/10 03:47:00,02/06/10 19:47:00,13.0
196,02/07/10 18:47:00,02/07/10 10:47:00,14.0
197,02/07/10 20:47:00,02/07/10 12:47:00,17.0
198,02/07/10 21:47:00,02/07/10 13:47:00,15.0
199,02/07/10 22:47:00,02/07/10 14:47:00,14.0
200,02/07/10 23:47:00,02/07/10 15:47:00,13.0
201,02/08/10 01:47:00,02/07/10 17:47:00,12.0
202,02/08/10 15:47:00,02/08/10 07:47:00,5.0
203,02/08/10 17:47:00,02/08/10 09:47:00,13.0
204,02/08/10 18:47:00,02/08/10 10:47:00,16.0
205,02/08/10 19:47:00,02/08/10 11:47:00,14.0
206,02/09/10 00:47:00,02/08/10 16:47:00,15.0
207,02/09/10 14:47:00,02/09/10 06:47:00,9.0
208,02/09/10 16:47:00,02/09/10 08:47:00,12.0
209,02/09/10 17:47:00,02/09/10 09:47:00,13.0
210,02/09/10 21:47:00,02/09/10 13:47:00,15.0
211,02/09/10 22:47:00,02/09/10 14:47:00,14.0
212,02/09/10 23:47:00,02/09/10 15:47:00,13.0
213,02/10/10 14:47:00,02/10/10 06:47:00,5.0
214,02/10/10 15:47:00,02/10/10 07:47:00,5.0
215,02/10/10 16:47:00,02/10/10 08:47:00,7.0
216,02/10/10 17:47:00,02/10/10 09:47:00,10.0
217,02/10/10 18:47:00,02/10/10 10:47:00,12.0
218,02/10/10 21:47:00,02/10/10 13:47:00,15.0
219,02/10/10 22:55:00,02/10/10 14:55:00,15.0
220,02/10/10 23:55:00,02/10/10 15:55:00,16.0
221,02/11/10 14:50:00,02/11/10 06:50:00,3.0
222,02/11/10 20:47:00,02/11/10 12:47:00,17.0
223,02/11/10 22:47:00,02/11/10 14:47:00,18.0
224,02/12/10 00:47:00,02/11/10 16:47:00,14.0
225,02/13/10 14:47:00,02/13/10 06:47:00,6.0
226,02/13/10 16:47:00,02/13/10 08:47:00,8.0
227,02/14/10 00:55:00,02/13/10 16:55:00,19.0
228,02/14/10 02:47:00,02/13/10 18:47:00,14.0
229,02/14/10 03:47:00,02/13/10 19:47:00,13.0
230,02/14/10 04:45:00,02/13/10 20:45:00,12.0
231,02/14/10 17:47:00,02/14/10 09:47:00,17.0
232,02/14/10 18:47:00,02/14/10 10:47:00,21.0
233,02/14/10 19:47:00,02/14/10 11:47:00,26.0
234,02/14/10 21:47:00,02/14/10 13:47:00,29.0
235,02/14/10 22:47:00,02/14/10 14:47:00,27.0
236,02/14/10 23:47:00,02/14/10 15:47:00,24.0
237,02/15/10 01:47:00,02/14/10 17:47:00,19.0
238,02/15/10 14:47:00,02/15/10 06:47:00,6.0
239,02/15/10 15:47:00,02/15/10 07:47:00,8.0
240,02/15/10 16:55:00,02/15/10 08:55:00,13.0
241,02/15/10 17:47:00,02/15/10 09:47:00,17.0
242,02/15/10 19:47:00,02/15/10 11:47:00,26.0
243,02/15/10 21:47:00,02/15/10 13:47:00,28.0
244,02/15/10 23:47:00,02/15/10 15:47:00,25.0
245,02/16/10 00:47:00,02/15/10 16:47:00,23.0
246,02/16/10 04:47:00,02/15/10 20:47:00,13.0
247,02/16/10 14:47:00,02/16/10 06:47:00,6.0
248,02/16/10 15:47:00,02/16/10 07:47:00,8.0
249,02/16/10 16:47:00,02/16/10 08:47:00,13.0
250,02/16/10 18:47:00,02/16/10 10:47:00,23.0
251,02/16/10 19:55:00,02/16/10 11:55:00,27.0
252,02/16/10 22:47:00,02/16/10 14:47:00,27.0
253,02/16/10 23:47:00,02/16/10 15:47:00,26.0
254,02/17/10 01:47:00,02/16/10 17:47:00,20.0
255,02/17/10 14:47:00,02/17/10 06:47:00,7.0
256,02/17/10 15:47:00,02/17/10 07:47:00,9.0
257,02/17/10 19:47:00,02/17/10 11:47:00,25.0
258,02/18/10 17:47:00,02/18/10 09:47:00,16.0
259,02/18/10 20:47:00,02/18/10 12:47:00,23.0
260,02/20/10 00:50:00,02/19/10 16:50:00,14.0
261,02/20/10 01:47:00,02/19/10 17:47:00,13.0
262,02/20/10 19:47:00,02/20/10 11:47:00,16.0
263,02/20/10 23:47:00,02/20/10 15:47:00,16.0
264,02/21/10 02:47:00,02/20/10 18:47:00,12.0
265,02/21/10 03:48:00,02/20/10 19:48:00,12.0
266,02/21/10 17:47:00,02/21/10 09:47:00,14.0
267,02/21/10 20:47:00,02/21/10 12:47:00,16.0
268,02/21/10 22:47:00,02/21/10 14:47:00,14.0
269,02/21/10 23:47:00,02/21/10 15:47:00,15.0
270,02/22/10 01:47:00,02/21/10 17:47:00,13.0
271,02/22/10 02:47:00,02/21/10 18:47:00,13.0
272,02/22/10 14:47:00,02/22/10 06:47:00,11.0
273,02/22/10 16:47:00,02/22/10 08:47:00,13.0
