,UCT Date,Custom Date,Temp (C)
0,01/01/10 00:00:00,12/31/09 16:00:00,8.9
1,01/01/10 00:30:00,12/31/09 16:30:00,9.0
2,01/01/10 00:54:00,12/31/09 16:54:00,8.9
3,01/01/10 01:28:00,12/31/09 17:28:00,8.0
4,01/01/10 01:54:00,12/31/09 17:54:00,8.3
5,01/01/10 02:21:00,12/31/09 18:21:00,8.0
6,01/01/10 02:54:00,12/31/09 18:54:00,8.3
7,01/01/10 03:46:00,12/31/09 19:46:00,9.0
8,01/01/10 03:51:00,12/31/09 19:51:00,9.0
9,01/01/10 03:54:00,12/31/09 19:54:00,8.9
10,01/01/10 04:14:00,12/31/09 20:14:00,8.0
11,01/01/10 04:54:00,12/31/09 20:54:00,8.9
12,01/01/10 05:18:00,12/31/09 21:18:00,9.0
13,01/01/10 05:54:00,12/31/09 21:54:00,9.4
14,01/01/10 06:00:00,12/31/09 22:00:00,9.4
15,01/01/10 06:14:00,12/31/09 22:14:00,9.0
16,01/01/10 06:30:00,12/31/09 22:30:00,9.0
17,01/01/10 06:42:00,12/31/09 22:42:00,9.0
18,01/01/10 06:54:00,12/31/09 22:54:00,9.4
19,01/01/10 07:54:00,12/31/09 23:54:00,10.0
20,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
21,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
22,01/01/10 08:54:00,01/01/10 00:54:00,10.0
23,01/01/10 09:54:00,01/01/10 01:54:00,10.6
24,01/01/10 10:50:00,01/01/10 02:50:00,11.0
25,01/01/10 10:54:00,01/01/10 02:54:00,10.6
26,01/01/10 11:54:00,01/01/10 03:54:00,10.6
27,01/01/10 12:00:00,01/01/10 04:00:00,10.6
28,01/01/10 12:54:00,01/01/10 04:54:00,11.1
29,01/01/10 13:54:00,01/01/10 05:54:00,11.7
30,01/01/10 14:25:00,01/01/10 06:25:00,12.0
31,01/01/10 14:54:00,01/01/10 06:54:00,11.7
32,01/01/10 15:20:00,01/01/10 07:20:00,12.0
33,01/01/10 15:43:00,01/01/10 07:43:00,12.0
34,01/01/10 15:54:00,01/01/10 07:54:00,11.7
35,01/01/10 16:27:00,01/01/10 08:27:00,12.0
36,01/01/10 16:54:00,01/01/10 08:54:00,10.6
37,01/01/10 17:54:00,01/01/10 09:54:00,11.1
38,01/01/10 18:00:00,01/01/10 10:00:00,11.1
39,01/01/10 18:54:00,01/01/10 10:54:00,10.0
40,01/01/10 19:54:00,01/01/10 11:54:00,11.1
41,01/01/10 20:54:00,01/01/10 12:54:00,12.2
42,01/01/10 21:54:00,01/01/10 13:54:00,12.2
43,01/01/10 22:54:00,01/01/10 14:54:00,12.8
44,01/01/10 23:54:00,01/01/10 15:54:00,12.8
45,01/02/10 00:00:00,01/01/10 16:00:00,12.8
46,01/02/10 00:54:00,01/01/10 16:54:00,12.2
47,01/02/10 01:54:00,01/01/10 17:54:00,11.7
48,01/02/10 02:54:00,01/01/10 18:54:00,11.7
49,01/02/10 03:54:00,01/01/10 19:54:00,11.7
50,01/02/10 04:03:00,01/01/10 20:03:00,11.0
51,01/02/10 04:52:00,01/01/10 20:52:00,10.0
52,01/02/10 04:54:00,01/01/10 20:54:00,10.0
53,01/02/10 05:54:00,01/01/10 21:54:00,9.4
54,01/02/10 06:00:00,01/01/10 22:00:00,9.4
55,01/02/10 06:21:00,01/01/10 22:21:00,7.0
56,01/02/10 06:34:00,01/01/10 22:34:00,8.0
57,01/02/10 06:40:00,01/01/10 22:40:00,8.0
58,01/02/10 06:45:00,01/01/10 22:45:00,8.0
59,01/02/10 06:52:00,01/01/10 22:52:00,8.0
60,01/02/10 06:54:00,01/01/10 22:54:00,7.8
61,01/02/10 07:15:00,01/01/10 23:15:00,8.0
62,01/02/10 07:19:00,01/01/10 23:19:00,8.0
63,01/02/10 07:54:00,01/01/10 23:54:00,8.3
64,01/02/10 07:59:00,01/01/10 23:59:00,#N/A
65,01/02/10 08:34:00,01/02/10 00:34:00,8.0
66,01/02/10 08:50:00,01/02/10 00:50:00,9.0
